PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated
"670662","Almgren, Martin (Trafikförvaltningen, SLL);Sylwan, Odd (Tyréns)","Kravställning och uppföljning av ljud- och vibrationskrav vid fordonsupphandling","Konferensbidrag","Refereegranskat","swe","","","","","","","Transportforum 2013 : Granskade artiklar","98","107","2013","","","Linköping","Statens väg- och transportforskningsinstitut","VTI rapport","0347-6030","0347-6030","","","","","","","","urn:nbn:se:vti:diva-1870","","","Train;Rolling stock;Noise level;Vibration;Limit;Tender;Tåg;Rullande materiel;Bullernivå;Vibrationer;Gränsvärden;Anbud","Strömningsmekanik och akustik (20306)","Railway: General works, surveys, comprehensive works,Railway: Vehicles;Railway: General works, surveys, comprehensive works,Railway: Environment","","","<p>Trafikförvaltningen (tidigare SL) har de senaste åren initierat och delvis genomfört tre större fordonsupphandlingar med långtgående krav på låga bullernivåer. De närliggande upphandlingarna har möjliggjort samordningsvinster, men även erfarenhetsutbyte från olika upphandlingsfaser. Erfarenheterna från upphandlingarna visar att väl underbyggda och realistiska krav betyder mycket för att uppnå goda resultat. De visar vidare att väl genomtänkta planer för löpande rapportering under projekten och påtryckningsmedel för att säkerställa kravefterlevnad också har stor betydelse. Artikeln belyser förhållanden som kan ha betydelse för kravutformning samt identifierade svårigheter och vunna erfarenheter från fordonsupphandlingar. Genomgången är tänkt att vara praktisk och lätt att tillämpa. Utformning av krav eller förslag på gränsvärden tas däremot inte upp i artikeln. Den förmedlar istället i första hand tänkesätt och användbara referenser.</p>","","","","","","","","","","","","","2013-12-03","2013-12-03","2014-09-19"
"1002857","Alatalo, Johanna [johala];Öberg, Eva (LKAB);Pålsson, Bertil [palle] (Luleå tekniska universitet [873550], Institutionen för samhällsbyggnad och naturresurser [875006], Industriell miljö- och processteknik [875039])","Verifierig av datorsimulerad kapacitetsökning vid anrikningsverket i Malmberget","Konferensbidrag","Övrigt vetenskapligt","swe","","","","","","","Konferens i mineralteknik","","","2006","","","","Föreningen Mineralteknisk Forskning / Swedish Mineral Processing Research Association","Meddelande från MinFo","0280-5480","","","","","","","","","urn:nbn:se:ltu:diva-29633","32c2a0b0-b144-11db-bf9d-000ea68e967b","","","Metallurgi och metalliska material (20506)","Mineral Processing","","Godkänd; 2006; 20070122 (ysko)","","","",""," ","","","","","","","","","2016-09-30","2016-09-30","2023-09-06"
"815593","Andersson, Andreas [u1b3o887] (KTH [177], Skolan för arkitektur och samhällsbyggnad (ABE) [5850], Byggvetenskap [5857], Bro- och stålbyggnad [10153]);Roslin, Mattias (Trafikverket);Taube, Arvid (Trafikverket)","Bärförmåga hos inklädnadssystem vid stödbelastning från fallande bergblock","Konferensbidrag","Övrigt vetenskapligt","swe","","","","","","","Bergmekanikdag 2015","","","2015","","","Stockholm","Stiftelsen Bergteknisk forskning","","","","","http://www.befoonline.org/publikationer/r2015__430","","","","","","urn:nbn:se:kth:diva-168301","","","","Infrastrukturteknik (20104)","Civil and Architectural Engineering","","<p>QC 20150617</p>","<p>Inner lining system in tunnels is a method to prevent water ingress and forming of ice in the traffic area. A solution that is common in Norway is based on stretching a sealing membrane between rock anchorages that forms a gap to the primary rock strengthening. The membrane is in turn protected by a layer of shotcrete towards the traffic area. The rock strengthening is designed to resist all loads from the rock mass independent of the inner lining system. A problem is however how to perform inspections and conditional assessment of the rock strengthening, since the gap is usually small. Other topics are what loads the inner lining system should be designed for. In TRVK Tunnel 11, the load of a local falling rock of 600 kg is stipulated, assuming to act on a surface of 0.2×0.2 m. Furthermore, the inner lining system should be designed to resist what is connoted as an extreme rock load of 6 metric ton, acting on a 1×1 m area, even when a primary rock strengthening is present. Similar inner lining systems have been used in e.g. Norra länken, parts of Citybanan in Stockholm and is planned to be used for the Stockholm Bypass project.</p><p>In the present paper, results from a recent research project are presented, aiming at investigating the structural manner of action of the aforementioned inner lining system. A series of concrete slabs have been tested, both until static failure and with a 600 kg drop weight from different heights. All tested slabs resulted in flexural failure and showed a significant ductility. For several of the slabs tested for impact loading, significant spalling from the soffit was obtained, at the most corresponding to a mass of 16 kg. Three of the slabs tested for impact load were manufactured with an outer layer of steel fibre reinforced shotcrete. None of these slabs showed any significant spalling, despite a free fall height up to 2 m.</p><p>Several FE-analyses have also been performed, accounting for the nonlinear material properties of concrete. The results showed good agreement with the conducted experiments, both regarding static loading, cracking and impact load. A similar analysis was also done for the whole inner lining system. The results showed a larger load capacity compared to the experiments, but still with a rather localised failure.</p>","","","","","","","","","","","","","2015-06-01","2015-06-01","2022-06-23"
"1010492","Andersson, Jan-Olof [janand] (Luleå tekniska universitet [873550], Institutionen för teknikvetenskap och matematik [875002], Energivetenskap [875055]);Elfgren, Erik [elf] (Luleå tekniska universitet [873550], Institutionen för teknikvetenskap och matematik [875002], Energivetenskap [875055]);Grip, Carl-Erik [cargri] (Luleå tekniska universitet [873550], Institutionen för teknikvetenskap och matematik [875002], Energivetenskap [875055])","Improved energy efficiency in juice production through waste heat recycling","Konferensbidrag","Refereegranskat","swe","","","","","","","International Conference on Applied Energy, ICAE 2013","","","2013","","","","","","","","","","","","","","","urn:nbn:se:ltu:diva-36993","add3b9bb-6da2-4d22-bfff-e78c64e19b15","","renewable energy resources;psychrometrics;thermodynamic;drying;pinch analys","Energiteknik (20304)","Energy Engineering","","<p>Godkänd; 2013; Bibliografisk uppgift: Konferensbidrag, finns omskrivet till en journal artikel; 20130613 (janand)</p>","<p>The global demand for Nordic wild berries has increased steadily, partly due to their healthy properties and their good taste. Juice concentrate is produced by pressing berries and heating up the juice. The by-products are berry skins and seeds. Traditionally, the by-products have been composted. Higher competiveness can be achieved by decreasing the production cost and increasing the product values. The berry skins and seeds have a commercial value since they are rich in vitamins and nutrients. To use and sell these by-products, they need to be separated from each other and dried to a moisture content of less than 10 %wt. A berry juice industry in the north of Sweden has been studied in order to increase the energy and resource efficiency and optimize the quality and yield of different berry fractions. This was done by means of process integration with thermodynamics and psychrometry along with measurements of the berry juice production processes. Our calculations show that the drying system could be operated at full without any external heat supply. This could be achieved by increasing the efficiency of the dryer by recirculating 80 % of the drying air and by heating the air with heat from the flue gases from the industrial boiler. This change would decrease the need for heat in the dryer with about 64 %. The total heat use for the plant could thereby be decreased from 1204 kW to 1039 kW. The proposed changes could be done without compromising the production quality or the lead time.</p>","","",""," ","","","","","","","","","2016-10-03","2016-10-03","2022-10-12"
"773973","Artman, Henrik [u1g8o6ai] (KTH [177], Skolan för datavetenskap och kommunikation (CSC) [5956], Medieteknik och interaktionsdesign, MID [10300]);Ramberg, Robert;Tholander, Jakob;Klas, Karlgren","Rollen hos representationer och agerande inom interaktionsdesign","Konferensbidrag","Övrig (populärvetenskap, debatt, mm)","swe","","","","","","","Resultatdialog","156","163","2014","","8","","Vetenskapsrådet","","","","978-91-7307-247-2","https://publikationer.vr.se/produkt/resultatdialog-2014/","","","","","","urn:nbn:se:kth:diva-158051","","","interaktionsdesign;representationer;agens;skisser","Lärande (50303);Interaktionsteknik (21103);Mänsklig interaktion med IKT (50803)","Human-computer Interaction","","<p>QC 20150121</p>","","","","","","","","","","","","","","2014-12-20","2014-12-20","2022-06-23"
"1011364","Augustinsson, Sören (Luleå tekniska universitet [873550]);Gisby, Arvid","Gränsöverskridande samverkan i dubbel bemärkelse","Konferensbidrag","Övrigt vetenskapligt","swe","","","","","","","HSVs sjätte kvalitetskonferens, : Högskolan i Jönköping, den 26-28 oktober 2004","","","2004","","","","Högskolan i Jönköping","","","","","","","","","","","urn:nbn:se:ltu:diva-37866","c07948a0-f405-11dc-b9d9-000ea68e967b","","","Produktionsteknik, arbetsvetenskap och ergonomi (20307)","Industrial Work Environment","","Godkänd; 2004; 20080317 (andbra)","","","",""," ","","","","","","","","","2016-10-03","2016-10-03","2023-09-06"
"799218","Axin, Mikael [aximi06] (Linköpings universitet [276], Institutionen för ekonomisk och industriell utveckling [313], Fluida och mekatroniska system [8250]) (Linköpings universitet [276], Tekniska högskolan [1751])","Arbetshydraulik i mobila maskiner","Konferensbidrag","Refereegranskat","swe","","","","","","","","","","2015","","","","","","","","","","","","","","","urn:nbn:se:liu:diva-116640","","","Mobila maskiner;arbetshydraulik;systemtyper;energieffektivitet;dynamik;reglering","Maskinteknik (203)","","","","<p>I mobila maskiner finns en mängd olika systemtyper för arbetshydrauliken. Det vanligaste är fortfarande det kostnadseffektivaoch robusta öppet-centrum systemet med fast pump. Det ger operatören en mjuk styrning med hög dämpning. Ennackdel är dock den låga energieffektiviteten. Under de senaste decennierna har det lastkännande systemet blivit mer ochmer populärt. Energieffektiviteten i detta system är högre även om tryck och flöde varierar stort över tid och mellan olikafunktioner. En nackdel är dock att systemets dämpning är låg. Det finns ett antal olika systemtyper som kombinerar en mjukstyrning med relativt hög energieffektivitet. Nyckeln är att begränsa flödet genom det öppna centrumet i riktningsventilen.Detta kan göras med en variabel tryckstyrd pump som regleras så att öppet-centrum flödet hålls på en konstant nivå. Alternativetär en flödesstyrd pump som styrs direkt från operatörens joystickkommandon eller via flödet i det öppna centrumet. Iden här artikeln görs en jämförande analys av olika systemtyper för arbetshydrauliken i mobila maskiner. Fokus ligger påenergieffektivitet, dynamiska egenskaper och pumpreglering. En genomgång av mer avancerade systemtyper såsom individuellastrypställen och pumpstyrda aktuatorer har också gjorts.</p>","","","","","","","","","","","","","2015-03-30","2015-03-30","2015-09-07"
"670661","Bengtsson, Joakim (SWECO)","Effekter av två olika FIVÖ-system på huvudgata i mindre ort : resultat och slutsatser av försök","Konferensbidrag","Refereegranskat","swe","","","","","","","Transportforum 2013 : Granskade artiklar","81","97","2013","","","Linköping","Statens väg- och transportforskningsinstitut","VTI rapport","0347-6030","0347-6030","","","","","","","","urn:nbn:se:vti:diva-1869","","","Pedestrian crossing;Traffic calming;Flashing light;Warning;Before and after study;Behaviour;Cyclist;Pedestrian;Driver;Safety;Evaluation (assessment);Övergångsställen;Fartdämpning;Blinkande signaler;Varning;Före efter studier;Beteende;Cyklister;Fotgängare;Förare;Säkerhet;Utvärdering","Infrastrukturteknik (20104)","Road: Traffic safety and accidents,Road: Junctions and traffic safety","","","<p>I syfte att undersöka om så kallade FIVÖ-system (Förstärkt Information Vid Övergångsställen) i viss mån kan ersätta traditionella fysiska farthinder har försök gjorts på en huvudgata i närheten av en skola i Arlöv. Två olika aktiveringsmetoder har ingått, tryckknapp och automatisk detektering. Metoden för att utvärdera försöken har inkluderat trafikmätningar (fem tillfällen), beteendestudier på plats (fem tillfällen) samt enkäter med elever och bussförare som passerar platsen (tre tillfällen). Analysen visar att motorfordonens hastigheter minskar och att deras väjning gentemot fotgängare ökar med båda typer av anläggning. Eleverna upplevde dock endast att motorfordonen stannade oftare när anläggningen med tryckknapp var i drift. Bussförarna upplevde att de oftare stannade för gående oavsett vilken FIVÖ-anläggning som var på plats, men hur lätt de kunde upptäcka oskyddade trafikanter eller hur ofta de stannade för cyklister var olika för olika typ av anläggning och ljusförhållanden. Slutsatserna av studien är att den faktiska trafiksäkerheten, mätt i hastigheter och andel väjande fordon vid passagen, ökar med båda typerna av installerade anläggningar, trots att eleverna upplever en försämrad situation vid passagen. Anläggningen med detektor ger något bättre resultat än anläggningen med tryckknapp eftersom automatiken ökar andelen passager med aktiverad blinkande skylt. Denna anläggning ger likvärdiga resultat på såväl kort som lång sikt. Resultaten för anläggningen med tryckknapp är däremot alltför spretiga för att någon slutsats om effekten ur olika tidsperspektiv ska kunna dras.</p>","","","","","","","","","","","","","2013-12-03","2013-12-03","2014-09-19"
"1011822","Berggren, Karolina [karober] (Luleå tekniska universitet [873550], Institutionen för samhällsbyggnad och naturresurser [875006], Arkitektur och vatten [875036]);Lans, Axel (Vatten och Miljöbyrån AB, Luleå, Sweden);Viklander, Maria [marvik] (Luleå tekniska universitet [873550], Institutionen för samhällsbyggnad och naturresurser [875006], Arkitektur och vatten [875036]);Ashley, Richard [ricash] (Luleå tekniska universitet [873550], Institutionen för samhällsbyggnad och naturresurser [875006], Arkitektur och vatten [875036]) (University of Sheffield, UK; University of Bradford, UK; UNESCO IHE Delft, Netherlands)","Future changes affecting hydraulic capacity of urban storm water systems","Konferensbidrag","Refereegranskat","swe","","","","","","","Urban Drainage Modelling : Proceedings of the Ninth International Conference on Urban Drainage Modeling, Belgrade, Serbia, 4-6 September 2012","","","2012","","","Belgrade","Faculty of Civil Engineering, University of Belgrade","","","","978-86-7518-156-9","","","","","","","urn:nbn:se:ltu:diva-38322","cac0bb1d-af34-49f0-8567-4606242033a0","","climate change;drainage;modeling;pipe deterioration;planning process;storm water","Vattenteknik (20107)","Urban Water Engineering","","<p>Godkänd; 2012; 20130226 (karober)</p>","<p>Urban areas may develop and change its character over time, but the urban drainage system is often 12 more constant in character – as the technical design life can be up to 100 years. The hydraulic capacity 13 of an existing urban storm water system is affected by future changes, e.g. rate of imperviousness 14 (urbanization), changes in the rainfall characteristics (e.g. by climate change) and system deterioration 15 (pipes and other facilities). Recently the urban planning process in Sweden and elsewhere has become 16 more appreciative of urban drainage issues, and the need to include these earlier in development 17 processes. In this paper a small urban catchment is used to study how future factors affect the 18 hydraulic capacity and the potential development of the area. Factors tested are scenarios of: (1) 19 Urbanization; (2) Climate change and (3) Pipe system deterioration. The results show that each of 20 these factors impact on the hydraulic capacity and that any sensitivity analysis should include all of 21 them to understand future development potential for the area. This type of investigation can increase 22 the understanding of the needs of the infrastructure provision in the area in a planning process context, 23 and provide information about appropriate areas of development within the catchment.</p>","","",""," ","","","","","","","","","2016-10-03","2016-10-03","2023-09-05"
"1592215","Berggård, Glenn (Luleå tekniska universitet);Goldbach, Stine Gissel (Atkins Danmark A/S);Hansen, Sten (Atkins Danmark A/S);Ranhagen, Ulf [urn] (FFNS AB; Luleå tekniska universitet; Sweco);Sewring, Göran (Tyrèns Infrakonsult AB)","Val av prioriterade korridorer för Norrbotniabanan med hjälp av Multikriteriaanalys","Konferensbidrag","Övrigt vetenskapligt","swe","","","","","","","Transportforum 2003 : Rapportsammanställning av föredrag i Linköping 8–9 januari 2003","","","2003","","","Linköping","Statens väg- och transportforskningsinstitut","","","","","","","","","","","urn:nbn:se:du-38034","","","","Annan samhällsbyggnadsteknik (20199);Miljöanalys och bygginformationsteknik (20108)","","","","<p>Choosing alternative corridors for the Norrbotniabanan by the use of Multi-Criteria Analysis</p><p>During 2002-2003 a pre-feasibility study of a possible Norrbotnia railway is conducted. Norrbotniabanan is a new coastal railway, between Umeå-Luleå-Haparanda, in total some 400 km of line. An important part of this study is to identify potential corridors and select corridors for further investigation. This is done in a dialogue with local authorities throughout the study. Due to the number of possible corridors and possible combinations along the line Umeå - Robertsfors – Skellefteå – Piteå – Luleå – Boden – Kalix - Haparanda the final number of alternatives is quite large. In general choosing some ”best” alternative is not an easy task, when many alternatives occur. Many effects have to be taken into account e.g. construction cost, time savings, various impacts on environment etc. Many of these impacts cannot easily be incorporated into a traditional cost-benefit analysis, nevertheless they play an important role in decision making. Multi Criteria Analysis (MCA) is a suitable decision aid tool in such a planning situation. As part of the Norrbotniabana study a simple MCA was carried out. A set of criteria for selecting alternatives was identified. At a seminar with participants from regional and local planning authorities and other interested parties, these criteria were evaluated for each alternative on a simple score from 1-5. Afterwards the relative importance of each criteria was estimated. This was done in groups. The consequences of these scores and weights were then analysed in the PC-tool Decision Criterium Plus. The presentation will report the results of the Multi Criteria Analysis and comment on the lessons learned from the practical use of MCA in the planning process. During 2002-2003 a pre-feasibility study of a possible Norrbotnia railway is conducted. Norrbotniabanan is a new coastal railway, between Umeå-Luleå-Haparanda, in total some 400 km of line. An important part of this study is to identify potential corridors and select corridors for further investigation. This is done in a dialogue with local authorities throughout the study. Due to the number of possible corridors and possible combinations along the line Umeå - Robertsfors – Skellefteå – Piteå – Luleå – Boden – Kalix - Haparanda the final number of alternatives is quite large. In general choosing some ”best” alternative is not an easy task, when many alternatives occur. Many effects have to be taken into account e.g. construction cost, time savings, various impacts on environment etc. Many of these impacts cannot easily be incorporated into a traditional cost-benefit analysis, nevertheless they play an important role in decision making. Multi Criteria Analysis (MCA) is a suitable decision aid tool in such a planning situation. As part of the Norrbotniabana study a simple MCA was carried out. A set of criteria for selecting alternatives was identified. At a seminar with participants from regional and local planning authorities and other interested parties, these criteria were evaluated for each alternative on a simple score from 1-5. Afterwards the relative importance of each criteria was estimated. This was done in groups. The consequences of these scores and weights were then analysed in the PC-tool Decision Criterium Plus. The presentation will report the results of the Multi Criteria Analysis and comment on the lessons learned from the practical use of MCA in the planning process. </p>","","","","","","","","","","","","","2021-09-08","2021-09-08","2023-12-05"
